maze_id,agent_type,n_runs,success_rate,mean_total_steps,mean_blocked_actions,mean_repeated_failed_actions
maze_01,A,5,1.0,10.0,0.0,0.0
maze_01,B,5,1.0,10.0,0.0,0.0
maze_02,A,5,1.0,14.4,2.4,0.0
maze_02,B,5,1.0,14.4,2.4,0.0
maze_03,A,5,0.0,124.0,124.0,122.0
maze_03,B,5,0.0,124.0,3.2,0.0
maze_04,A,5,1.0,14.4,2.4,0.0
maze_04,B,5,1.0,14.4,2.4,0.0
maze_05,A,5,0.0,100.0,59.0,57.6
maze_05,B,5,0.0,100.0,1.6,0.0
maze_06,A,5,1.0,14.0,0.0,0.0
maze_06,B,5,1.0,14.0,0.0,0.0
maze_07,A,5,1.0,20.6,6.6,0.0
maze_07,B,5,1.0,20.6,6.6,0.0
maze_08,A,5,0.0,144.0,82.4,81.0
maze_08,B,5,0.0,144.0,1.6,0.0
maze_09,A,5,0.0,116.0,65.2,63.0
maze_09,B,5,0.0,116.0,2.2,0.0
maze_10,A,5,0.6,97.6,28.0,27.6
maze_10,B,5,0.6,97.6,0.4,0.0
